Method Archetype,Prominence / Split Param,Target Clusters (K),Total Segments,Semantic Purity (%),Boundary Recall (%),Action Silhouette Score
Peak Finding (CONV),0.0005,5,37365,95.77,95.69,0.2586
Peak Finding (CONV),0.0005,6,37365,95.77,95.69,0.2484
Peak Finding (CONV),0.0005,7,37365,95.77,95.69,0.248
Peak Finding (CONV),0.0005,8,37365,95.77,95.69,0.2577
Peak Finding (CONV),0.0005,9,37365,95.77,95.69,0.2573
Peak Finding (CONV),0.0005,10,37365,95.77,95.69,0.2636
Peak Finding (CONV),0.0005,11,37365,95.77,95.69,0.2579
Peak Finding (CONV),0.0005,12,37365,95.77,95.69,0.2466
Peak Finding (CONV),0.0005,13,37365,95.77,95.69,0.2415
Peak Finding (CONV),0.0005,14,37365,95.77,95.69,0.224
Peak Finding (CONV),0.0005,15,37365,95.77,95.69,0.2273
Peak Finding (CONV),0.001,5,36797,95.69,95.09,0.2863
Peak Finding (CONV),0.001,6,36797,95.69,95.09,0.2567
Peak Finding (CONV),0.001,7,36797,95.69,95.09,0.2668
Peak Finding (CONV),0.001,8,36797,95.69,95.09,0.2552
Peak Finding (CONV),0.001,9,36797,95.69,95.09,0.2625
Peak Finding (CONV),0.001,10,36797,95.69,95.09,0.267
Peak Finding (CONV),0.001,11,36797,95.69,95.09,0.2469
Peak Finding (CONV),0.001,12,36797,95.69,95.09,0.2445
Peak Finding (CONV),0.001,13,36797,95.69,95.09,0.242
Peak Finding (CONV),0.001,14,36797,95.69,95.09,0.233
Peak Finding (CONV),0.001,15,36797,95.69,95.09,0.2121
Peak Finding (CONV),0.0015,5,36203,95.61,94.22,0.2746
Peak Finding (CONV),0.0015,6,36203,95.61,94.22,0.259
Peak Finding (CONV),0.0015,7,36203,95.61,94.22,0.2659
Peak Finding (CONV),0.0015,8,36203,95.61,94.22,0.2703
Peak Finding (CONV),0.0015,9,36203,95.61,94.22,0.2822
Peak Finding (CONV),0.0015,10,36203,95.61,94.22,0.275
Peak Finding (CONV),0.0015,11,36203,95.61,94.22,0.2553
Peak Finding (CONV),0.0015,12,36203,95.61,94.22,0.2341
Peak Finding (CONV),0.0015,13,36203,95.61,94.22,0.2264
Peak Finding (CONV),0.0015,14,36203,95.61,94.22,0.2017
Peak Finding (CONV),0.0015,15,36203,95.61,94.22,0.2011
Peak Finding (CONV),0.002,5,35692,95.54,93.62,0.2934
Peak Finding (CONV),0.002,6,35692,95.54,93.62,0.2853
Peak Finding (CONV),0.002,7,35692,95.54,93.62,0.2775
Peak Finding (CONV),0.002,8,35692,95.54,93.62,0.2694
Peak Finding (CONV),0.002,9,35692,95.54,93.62,0.2752
Peak Finding (CONV),0.002,10,35692,95.54,93.62,0.2792
Peak Finding (CONV),0.002,11,35692,95.54,93.62,0.2801
Peak Finding (CONV),0.002,12,35692,95.54,93.62,0.2604
Peak Finding (CONV),0.002,13,35692,95.54,93.62,0.2346
Peak Finding (CONV),0.002,14,35692,95.54,93.62,0.2325
Peak Finding (CONV),0.002,15,35692,95.54,93.62,0.224
Peak Finding (CONV),0.003,5,34572,95.35,91.74,0.2712
Peak Finding (CONV),0.003,6,34572,95.35,91.74,0.2526
Peak Finding (CONV),0.003,7,34572,95.35,91.74,0.2518
Peak Finding (CONV),0.003,8,34572,95.35,91.74,0.2535
Peak Finding (CONV),0.003,9,34572,95.35,91.74,0.2676
Peak Finding (CONV),0.003,10,34572,95.35,91.74,0.2539
Peak Finding (CONV),0.003,11,34572,95.35,91.74,0.2391
Peak Finding (CONV),0.003,12,34572,95.35,91.74,0.2259
Peak Finding (CONV),0.003,13,34572,95.35,91.74,0.2078
Peak Finding (CONV),0.003,14,34572,95.35,91.74,0.2061
Peak Finding (CONV),0.003,15,34572,95.35,91.74,0.2164
Peak Finding (CONV),0.005,5,32371,94.97,88.67,0.2626
Peak Finding (CONV),0.005,6,32371,94.97,88.67,0.2632
Peak Finding (CONV),0.005,7,32371,94.97,88.67,0.2495
Peak Finding (CONV),0.005,8,32371,94.97,88.67,0.2558
Peak Finding (CONV),0.005,9,32371,94.97,88.67,0.2621
Peak Finding (CONV),0.005,10,32371,94.97,88.67,0.2426
Peak Finding (CONV),0.005,11,32371,94.97,88.67,0.2318
Peak Finding (CONV),0.005,12,32371,94.97,88.67,0.2298
Peak Finding (CONV),0.005,13,32371,94.97,88.67,0.2337
Peak Finding (CONV),0.005,14,32371,94.97,88.67,0.2312
Peak Finding (CONV),0.005,15,32371,94.97,88.67,0.2306
Peak Finding (MEAN),0.0005,5,35628,95.56,93.99,0.2817
Peak Finding (MEAN),0.0005,6,35628,95.56,93.99,0.2649
Peak Finding (MEAN),0.0005,7,35628,95.56,93.99,0.2684
Peak Finding (MEAN),0.0005,8,35628,95.56,93.99,0.275
Peak Finding (MEAN),0.0005,9,35628,95.56,93.99,0.2639
Peak Finding (MEAN),0.0005,10,35628,95.56,93.99,0.2739
Peak Finding (MEAN),0.0005,11,35628,95.56,93.99,0.2684
Peak Finding (MEAN),0.0005,12,35628,95.56,93.99,0.255
Peak Finding (MEAN),0.0005,13,35628,95.56,93.99,0.2541
Peak Finding (MEAN),0.0005,14,35628,95.56,93.99,0.2563
Peak Finding (MEAN),0.0005,15,35628,95.56,93.99,0.2361
Peak Finding (MEAN),0.001,5,31434,94.82,89.13,0.2836
Peak Finding (MEAN),0.001,6,31434,94.82,89.13,0.2832
Peak Finding (MEAN),0.001,7,31434,94.82,89.13,0.2692
Peak Finding (MEAN),0.001,8,31434,94.82,89.13,0.2612
Peak Finding (MEAN),0.001,9,31434,94.82,89.13,0.2727
Peak Finding (MEAN),0.001,10,31434,94.82,89.13,0.2848
Peak Finding (MEAN),0.001,11,31434,94.82,89.13,0.288
Peak Finding (MEAN),0.001,12,31434,94.82,89.13,0.281
Peak Finding (MEAN),0.001,13,31434,94.82,89.13,0.2436
Peak Finding (MEAN),0.001,14,31434,94.82,89.13,0.2132
Peak Finding (MEAN),0.001,15,31434,94.82,89.13,0.2108
Peak Finding (MEAN),0.0015,5,27396,93.87,82.89,0.2739
Peak Finding (MEAN),0.0015,6,27396,93.87,82.89,0.2726
Peak Finding (MEAN),0.0015,7,27396,93.87,82.89,0.2533
Peak Finding (MEAN),0.0015,8,27396,93.87,82.89,0.251
Peak Finding (MEAN),0.0015,9,27396,93.87,82.89,0.2371
Peak Finding (MEAN),0.0015,10,27396,93.87,82.89,0.2412
Peak Finding (MEAN),0.0015,11,27396,93.87,82.89,0.2458
Peak Finding (MEAN),0.0015,12,27396,93.87,82.89,0.2498
Peak Finding (MEAN),0.0015,13,27396,93.87,82.89,0.2453
Peak Finding (MEAN),0.0015,14,27396,93.87,82.89,0.224
Peak Finding (MEAN),0.0015,15,27396,93.87,82.89,0.2253
Peak Finding (MEAN),0.002,5,23535,92.65,75.78,0.259
Peak Finding (MEAN),0.002,6,23535,92.65,75.78,0.2341
Peak Finding (MEAN),0.002,7,23535,92.65,75.78,0.2364
Peak Finding (MEAN),0.002,8,23535,92.65,75.78,0.2483
Peak Finding (MEAN),0.002,9,23535,92.65,75.78,0.2606
Peak Finding (MEAN),0.002,10,23535,92.65,75.78,0.2547
Peak Finding (MEAN),0.002,11,23535,92.65,75.78,0.2642
Peak Finding (MEAN),0.002,12,23535,92.65,75.78,0.2591
Peak Finding (MEAN),0.002,13,23535,92.65,75.78,0.2379
Peak Finding (MEAN),0.002,14,23535,92.65,75.78,0.2363
Peak Finding (MEAN),0.002,15,23535,92.65,75.78,0.2323
Peak Finding (MEAN),0.003,5,17215,89.37,61.33,0.217
Peak Finding (MEAN),0.003,6,17215,89.37,61.33,0.2262
Peak Finding (MEAN),0.003,7,17215,89.37,61.33,0.2196
Peak Finding (MEAN),0.003,8,17215,89.37,61.33,0.2197
Peak Finding (MEAN),0.003,9,17215,89.37,61.33,0.2209
Peak Finding (MEAN),0.003,10,17215,89.37,61.33,0.2219
Peak Finding (MEAN),0.003,11,17215,89.37,61.33,0.23
Peak Finding (MEAN),0.003,12,17215,89.37,61.33,0.232
Peak Finding (MEAN),0.003,13,17215,89.37,61.33,0.2043
Peak Finding (MEAN),0.003,14,17215,89.37,61.33,0.1985
Peak Finding (MEAN),0.003,15,17215,89.37,61.33,0.198
Peak Finding (MEAN),0.005,5,9896,80.3,37.75,0.2384
Peak Finding (MEAN),0.005,6,9896,80.3,37.75,0.2262
Peak Finding (MEAN),0.005,7,9896,80.3,37.75,0.2253
Peak Finding (MEAN),0.005,8,9896,80.3,37.75,0.2213
Peak Finding (MEAN),0.005,9,9896,80.3,37.75,0.2272
Peak Finding (MEAN),0.005,10,9896,80.3,37.75,0.21
Peak Finding (MEAN),0.005,11,9896,80.3,37.75,0.2126
Peak Finding (MEAN),0.005,12,9896,80.3,37.75,0.1813
